1053_at,1554572_a_at,1554696_s_at,1556206_at,1558447_at,1558448_a_at,1562755_at,1569609_at,200795_at,202240_at,202613_at,202705_at,202779_s_at,202870_s_at,202954_at,203214_x_at,203358_s_at,203362_s_at,203418_at,203696_s_at,204092_s_at,204162_at,204508_s_at,204768_s_at,204825_at,204962_s_at,205225_at,205891_at,206209_s_at,207828_s_at,209408_at,209464_at,210052_s_at,211519_s_at,211565_at,214710_s_at,215304_at,215397_x_at,216092_s_at,216836_s_at,217383_at,218009_s_at,218039_at,218211_s_at,218355_at,218542_at,218755_at,219918_s_at,220054_at,220232_at,220581_at,221677_s_at,222608_s_at,223229_at,223861_at,224447_s_at,224753_at,225191_at,225687_at,227232_at,228241_at,228362_s_at,229150_at,235786_at,237086_at,238062_at,242555_at,243689_s_at,Class
8.09954,8.89832,9.62847,1.70539,2.73809,4.25569,2.44241,2.51788,10.8413,4.92161,7.65385,10.1384,9.91065,9.58253,10.5103,9.21022,8.66033,10.906,7.92369,8.32762,8.39083,9.86065,3.07399,6.49129,10.9052,9.1855,2.63565,4.38422,2.21606,10.7634,7.8741,6.92413,9.47749,6.28797,2.0671,10.0881,3.17056,3.54387,5.03838,9.29072,2.68208,10.0118,10.6577,0.851954,6.1643,8.64156,8.25847,10.5877,3.88099,6.96346,2.26351,9.93077,9.53631,9.0879,2.60667,8.93374,6.92098,6.2492,9.98076,6.60626,1.79285,2.11181,2.04465,7.91679,2.01403,2.22243,3.43764,2.58564,Basal
8.21743,7.82021,6.65833,1.7116,2.4518,3.71388,2.45321,2.5865,11.7032,3.55833,5.50794,8.86213,9.74804,8.17758,10.6091,9.58342,8.06411,10.2539,6.96546,8.39841,7.1059,7.79408,3.69755,7.33938,9.11092,8.41594,3.51145,1.67391,2.23392,9.46742,6.87108,6.20058,9.05259,5.17456,2.05337,10.7617,6.22039,4.07754,8.49141,14.9421,2.49083,8.75947,10.1028,9.97543,6.61482,7.92277,9.1131,9.543,3.97363,7.3929,2.26679,7.04268,9.7929,9.10438,2.65695,13.5246,7.1784,7.69053,9.21045,8.08121,11.4189,2.38001,10.1758,9.42326,9.72761,2.18315,3.62813,2.66977,Her2
8.47638,7.77948,8.54237,1.7196,2.86653,3.73032,2.47978,2.60535,11.5712,4.16979,7.22004,9.08935,9.75447,8.5655,10.5814,8.92804,9.0104,9.76722,6.41654,8.92565,7.91714,9.01825,6.82298,7.97458,10.3784,8.2847,2.51491,1.58682,2.26307,9.34005,7.34758,6.18675,9.20771,6.24336,2.06424,10.4605,4.81128,3.55455,5.74824,14.7518,3.75735,9.57337,9.56756,9.55278,7.58649,7.92919,9.21552,9.18472,3.87618,7.01789,2.28043,8.91186,9.31975,8.88144,2.64086,14.9031,7.39485,6.60783,9.0585,6.95924,4.50831,2.06688,8.98191,8.78801,8.69159,2.23309,2.76731,3.32372,Her2
7.84711,7.17677,7.93219,1.70489,2.84797,4.23332,2.48065,2.52318,11.2347,3.66147,7.20014,9.9056,9.18784,9.25023,9.92366,9.17777,8.92265,9.63644,6.15092,8.10511,6.95468,8.90297,7.48397,6.79391,8.2772,8.32665,3.40846,4.99337,2.20526,8.87324,6.8704,6.86149,8.78672,4.79767,2.04379,9.45625,7.35666,4.74425,7.49527,14.5999,2.38367,9.44875,9.85288,10.3469,6.14788,7.87488,7.39253,8.97488,3.96309,6.89356,2.26517,8.90117,9.16418,8.36448,2.6093,13.4065,6.23465,7.81271,8.42767,7.91696,1.7983,2.33945,9.89907,8.89834,8.33958,2.24671,2.79259,2.55346,Her2
8.50635,7.19391,8.01208,1.70862,3.7857,4.96065,2.45551,2.54631,11.031,3.54429,6.20849,9.07002,9.30054,8.70141,9.95129,8.72571,8.78062,10.0444,6.58232,8.55668,7.41697,8.28883,6.98754,7.02321,9.62011,8.07408,7.61837,1.57495,2.22977,8.27019,7.40319,6.15709,9.05276,5.79459,2.04404,10.2879,6.92541,5.38369,7.97887,13.2967,4.89667,9.20323,9.75456,9.22732,7.15429,7.6629,7.90613,9.02497,3.84394,7.00504,2.68931,8.57174,9.93902,8.75478,2.61716,12.582,6.89102,7.46649,8.29137,7.39844,4.0218,3.22226,8.50595,7.9276,8.32699,2.21965,2.78338,2.57543,Her2
7.92972,9.01173,9.71315,1.70438,2.62433,3.05641,2.43107,2.52213,10.3532,6.6297,7.69141,10.6137,9.882,9.70617,9.33144,9.34021,9.01207,10.5167,7.78582,8.30293,8.00993,10.2973,3.01388,8.99334,10.7905,9.21553,1.25545,4.47922,2.20932,10.415,7.97567,7.03776,10.2175,6.82214,2.04319,10.256,5.46493,3.72169,4.91302,10.7528,2.59556,11.1911,10.3345,3.62428,6.66726,7.84948,9.35088,9.41769,3.91063,6.78668,2.22173,10.2368,11.0127,9.50971,10.8177,9.20432,8.16189,5.84901,8.70023,6.51994,1.83649,2.35782,3.07959,8.03686,1.94823,2.20679,3.29918,2.59625,Basal
8.21145,9.24082,7.19029,1.70855,3.47556,4.69424,2.45642,2.54303,10.7592,2.04903,6.3661,8.73901,8.78243,10.0939,9.83345,8.76708,8.46308,8.80282,4.17651,8.56926,7.84554,8.04519,3.60817,7.42495,8.20562,7.29597,3.43514,2.69138,2.64984,8.56914,8.91995,6.46876,8.6593,7.71236,2.04946,9.22132,6.51201,3.97657,6.18945,14.8022,6.04179,9.30204,9.12519,10.7139,6.28701,6.22648,7.76051,7.54726,3.85673,6.91971,2.27167,8.22917,8.87007,8.82462,2.61331,13.322,6.88258,7.70975,8.06293,6.85827,5.23582,2.03286,11.0067,10.8033,8.68186,2.20575,3.73293,2.72989,Her2
8.33146,8.17617,9.22506,1.714,2.75781,3.67121,2.45855,2.59407,10.3011,6.52435,8.56678,9.79744,11.0324,10.175,10.1239,8.48678,8.92472,10.9178,8.42009,8.83854,6.59343,10.2741,2.63008,7.36214,11.3327,9.30442,2.05398,2.72183,2.23493,11.041,8.39548,7.34663,9.76301,7.00264,2.07068,10.4973,7.3028,4.88533,6.53483,8.7026,2.80989,10.3796,10.4623,4.1374,7.30943,8.8188,9.2922,10.1532,3.8802,7.12352,2.27547,8.09116,9.58265,9.08818,10.1894,9.07564,6.54718,5.87738,8.94215,7.44504,2.03916,4.88314,3.38445,8.18481,2.04741,2.21827,2.85223,2.61161,Basal
6.61467,8.66162,8.08606,1.70857,2.98294,3.80271,2.45593,2.56365,10.367,2.11027,7.51938,8.03978,9.22033,7.18533,9.11276,7.41134,8.05021,8.20097,5.77025,7.06076,5.7372,7.2738,2.96135,6.60103,7.84383,6.19426,1.44713,5.40541,2.21563,9.04266,6.54967,6.13634,7.67659,4.40152,2.04478,7.49041,2.78461,3.70534,4.54703,9.37677,2.22958,8.85343,7.38609,2.16067,3.17926,7.20095,5.79669,8.05581,4.44057,7.03519,2.25723,7.72039,8.48527,8.62266,9.04359,9.41681,5.97455,6.04178,6.66462,5.64202,7.01176,2.39172,2.9233,8.28496,1.99144,2.23928,3.87097,2.54628,Basal
8.24303,9.09894,9.01309,1.71678,2.76722,3.68976,2.47521,2.60094,10.5687,2.73649,7.98377,8.3469,8.94942,8.08266,10.2362,8.94935,9.04404,10.3599,6.95852,8.13237,8.09977,8.96541,6.74714,6.83154,9.15821,8.86237,5.96891,1.56332,2.25905,8.90345,7.05872,6.18176,8.71251,4.83688,2.05538,9.96704,2.96897,3.69406,9.10626,14.1348,0.57458,8.54523,9.44103,8.7301,4.37694,7.23536,7.224,8.44702,3.88681,6.96698,2.27655,7.50168,8.51902,8.90175,2.636,13.1619,6.92671,7.20001,8.39231,7.44464,1.90575,2.26633,8.34667,8.2819,8.45632,2.23501,4.86747,2.59565,Her2
