CCT3,TOP2A,RRM2,PTTG1,LCAT,VIPR1,ESR1,FCN3,CYP2B6,NAT2,APOF,CYP1A2,FCN2,FOS,GPC3,ECM1,MT1F,CCNB1,CXCL14,PRC1,ASPM,STAB2,HAMP,Class
8.341,3.749,4.216,5.615,8.088,7.734,6.559,9.629,7.64,9.846,9.681,11.86,6.542,10.171,5.971,7.736,10.77,3.741,7.038,3.635,3.851,5.931,9.184,Normal
8.308,3.695,3.277,5.149,8.377,7.734,7.243,9.416,7.943,9.783,9.757,12.56,7.705,10.19,4.453,7.94,11.699,3.527,7.831,3.65,3.238,6.241,12.404,Normal
9.74,4.703,5.628,7.199,4.545,3.935,4.303,5.433,4.612,4.7,6.359,4.947,3.684,4.53,11.995,5.02,5.23,6.508,3.737,4.061,5.928,3.833,6.62,Cancer
8.796,5.557,6.831,7.272,6.424,3.554,4.892,8.127,4.934,4.705,7.067,9.922,4.13,6.339,5.163,5.708,9.655,7.444,8.849,6.508,5.131,4.644,11.902,Cancer
9.62,8.636,7.437,7.942,3.684,4.541,3.366,5.724,2.928,7.644,3.28,5.219,3.202,5.421,10.183,5.106,5.411,5.925,3.067,6.671,7.051,3.59,3.515,Cancer
9.763,6.976,6.373,8.329,6.34,4.806,3.308,5.48,2.831,3.37,3.758,6.43,3.565,4.695,12.114,5.054,9.487,5.866,3.367,5.819,6.44,3.414,4.227,Cancer
9.218,6.196,5.225,7.121,4.691,4.654,4.089,5.476,4.152,7.481,7.488,9.676,3.56,4.385,9.885,4.968,6.726,5.384,3.178,4.673,6.289,3.923,3.79,Cancer
8.499,4.818,3.771,6.409,7.977,6.561,7.118,8.992,7.769,8.007,7.801,11.124,5.209,8.703,5.036,7.105,9.651,3.852,7.464,3.846,3.595,5.166,10.75,Normal
9.564,5.026,3.746,6.115,5.271,5.196,4.783,6.63,7.381,5.233,5.353,11.194,3.683,4.955,4.26,5.256,9.869,4.142,3.206,4.239,3.808,4.259,9.847,Cancer
10.073,8.312,8.016,9.247,4.337,4.132,3.228,5.546,3.857,4.55,4.035,4.856,3.587,5.586,7.131,5.047,7.246,8.238,3.189,7.207,8.522,4.019,4.771,Cancer
10.342,7.337,6.915,8.444,5.511,3.672,3.731,5.299,3.783,4.986,3.847,4.671,3.505,4.825,11.832,4.993,6.045,6.684,2.921,6.436,7.631,4.102,3.976,Cancer
8.805,7.139,7.208,7.458,6.374,4.804,3.458,6.336,3.975,3.661,4.449,4.845,3.51,5.35,11.358,5.288,11.244,4.823,2.907,5.742,5.888,4.311,5.06,Cancer
9.249,5.03,6.586,6.861,6.831,6.065,7.071,7.241,7.994,8.29,9.697,10.015,4.136,8.778,9.642,6.005,10.159,5.547,5.302,4.831,5.585,4.471,9.047,Cancer
9.063,7.345,7.236,8.446,3.953,4.34,3.821,5.313,2.932,4.794,4.094,6.835,3.605,4.205,10.841,5.256,7.377,6.552,3.526,6.799,6.616,4.025,3.96,Cancer
7.643,3.648,3.863,5.47,8.66,5.405,6.848,6.828,7.79,8.307,9.043,12.348,4.564,5.852,4.605,6.203,11.655,4.268,4.198,3.589,3.878,5.595,12.345,Normal
8.384,3.392,4.679,5.597,8.794,4.615,7.257,9.642,7.479,9.389,9.755,12.827,6.067,10.035,4.859,7.424,11.669,4.144,7.063,3.806,4.109,5.587,12.941,Normal
8.111,4.122,4.714,5.572,8.459,6.859,8.104,9.478,8.485,9.523,9.784,11.925,6.929,8.721,4.846,7.837,11.707,3.84,7.043,4.039,3.603,6.464,12.351,Normal
8.005,3.548,3.219,5.15,8.154,7.848,6.585,9.194,9.409,8.977,9.652,12.249,7.004,9.006,4.275,7.505,12.601,3.2,6.964,3.784,3.186,6.718,13.124,Normal
7.914,3.745,3.447,5.415,8.771,7.654,7.109,8.045,8.785,9.29,9.825,13.23,6.168,7.953,3.871,7.122,10.088,3.648,6.737,3.629,3.256,5.912,12.718,Normal
9.402,6.682,7.484,7.631,5.712,4.486,4.098,5.795,6.206,5.252,4.685,8.397,3.713,5.914,11.616,4.972,5.943,6.326,6.305,5.314,5.622,3.779,7.183,Normal
8.213,3.834,3.517,5.667,8.318,7.447,7.822,9.2,8.313,9.626,9.665,12.77,6.463,9.62,4.012,7.662,11.656,3.52,7.687,3.589,3.901,6.046,12.198,Normal
8.033,3.535,3.154,5.17,8.032,6.939,6.379,8.798,8.23,9.253,9.872,12.532,6.377,10.09,5.074,7.695,10.155,3.481,5.669,4.056,3.021,6.078,12.222,Normal
8.193,3.788,3.912,5.18,8.448,7.333,7.521,8.997,8.518,9.333,9.035,11.959,5.229,9.369,5.91,7.794,10.392,3.592,7.647,3.633,3.287,5.786,11.922,Normal
8.392,3.666,3.677,5.375,7.928,6.643,7.977,8.917,8.247,9.419,9.137,12.106,5.831,8.904,5.416,7.462,11.256,3.529,7.082,3.5,3.616,5.761,11.996,Normal
7.366,3.839,3.226,4.392,7.375,6.334,6.784,7.82,8.605,7.946,8.711,11.621,4.328,8.337,5.767,7.355,11.325,4.084,7.006,3.627,3.548,4.436,11.932,Normal
9.699,6.847,5.93,7.48,4.679,3.768,4.601,4.242,3.256,3.943,5.043,5.109,3.908,6.305,10.258,5.471,7.048,5.786,3.554,5.51,6.238,4.148,5.523,Cancer
9.726,4.413,8.611,7.718,6.997,3.935,5.53,6.787,4.713,4.577,5.585,4.804,4.02,5.791,8.048,5.558,6.009,4.952,3.653,5.871,5.623,4.65,8.573,Cancer
8.692,7.572,8.513,9.051,3.983,3.828,3.497,4.585,5.644,4.387,5.619,5.138,3.647,4.542,10.525,5.088,7.826,6.559,2.975,7.384,6.998,4.138,3.524,Cancer
8.518,4.837,5.525,6.89,7.338,4.982,5.176,8.015,6.554,7.304,8.165,10.628,4.607,6.743,8.26,5.232,6.564,4.447,3.575,4.622,4.784,4.668,7.267,Cancer
9.704,7.056,7.116,7.902,6.302,4.031,3.984,5.974,5.007,3.856,6.109,6.137,3.752,5.323,11.5,5.183,7.08,6.117,3.274,6.57,7.122,4.202,8.266,Cancer
9.578,8.556,5.872,7.586,5.105,4.256,3.419,5.201,3.136,3.849,7.904,4.718,4.153,4.906,9.489,4.759,5.402,4.941,2.915,5.815,6.455,3.942,3.353,Cancer
10.066,8.518,8.06,9.198,3.713,4.179,3.407,4.777,3.426,3.667,4.306,4.728,3.396,4.397,6.535,4.937,7.498,7.283,2.845,7.472,8.766,3.899,4.031,Cancer
9.706,7.366,6.223,7.558,4.101,4.14,3.735,4.828,4.686,3.77,5.22,9.192,3.701,5.188,10.196,4.728,7.398,4.451,2.821,6.266,6.301,3.898,3.157,Cancer
10.804,8.699,8.411,9.62,5.268,4.077,3.715,6.303,4.369,4.54,5.725,5.713,3.517,4.015,10.81,5.333,6.526,8.491,3.276,7.898,8.95,4.096,11.021,Cancer
9.303,5.923,6.445,6.411,4.335,4.214,4.224,5.22,4.294,6.19,4.292,10.661,3.276,4.574,8.95,4.955,6.755,3.591,2.99,5.404,6.958,4.275,5.104,Cancer
7.98,3.898,3.655,5.526,8.454,7.595,7.385,10.31,8.954,9.503,9.488,11.726,7.927,9.383,4.466,8.398,11.079,4.246,8.036,3.301,3.979,6.958,12.37,Normal
8.001,3.61,3.533,5.252,8.538,7.518,7.73,9.496,9.852,9.536,9.481,12.374,6.974,8.834,4.666,7.689,11.776,3.751,7.387,3.722,3.513,5.63,12.637,Normal
7.705,4.44,3.748,5.932,8.295,7.733,7.186,9.483,8.687,8.948,9.025,12.697,5.855,10.46,4.359,7.099,11.792,4.121,7.694,3.584,3.25,6.615,12.601,Normal
7.789,3.752,4.382,5.14,8.468,7.101,7.101,8.502,9.598,9.147,8.593,12.927,7.02,5.745,4.519,7.129,11.526,4.098,7.413,3.698,4.221,5.716,12.224,Normal
7.941,3.692,3.691,5.848,7.683,6.225,7.222,9.456,6.178,8.281,9.078,12.537,8.279,8.015,4,7.073,11.086,3.261,8.088,4.054,3.91,6.254,12.363,Normal
8.191,3.829,3.615,5.383,8.645,7.674,7.203,9.772,9.493,9.618,10.639,12.385,8.129,8.496,4.368,8.036,11.927,3.618,7.545,3.662,3.14,6.678,11.915,Normal
8.219,4.464,4.303,5.904,8.027,6.202,6.726,10.815,8.983,8.776,10.064,10.946,8.149,6.263,4.631,7.499,12.117,3.679,6.156,3.975,3.771,6.99,12.94,Normal
7.581,3.638,3.639,5.209,8.26,7.621,7.615,8.81,9.207,9.319,8.913,12.79,4.753,11.035,4.326,7.249,11.018,3.545,7.383,3.626,3.638,5.366,12.506,Normal
7.893,3.714,4.322,5.493,7.999,7.192,7.766,9.694,7.627,9.12,9.582,11.399,7.3,10.453,5.324,7.698,10.281,3.577,7.714,3.858,3.933,6.425,12.031,Normal
8.291,3.505,3.544,5.59,8.227,7.073,6.911,9.781,8.645,9.3,10.182,11.246,7.798,10.195,4.471,7.61,12.406,3.43,5.654,3.37,3.614,6.248,11.64,Normal
7.273,4.706,3.371,4.089,7.781,6.7,6.337,9.396,8.79,9.16,9.214,12.769,3.753,5.047,4.163,6.38,11.921,4.413,5.186,3.769,3.989,3.599,12.403,Normal
9.501,6.792,6.436,7.682,4.859,4.727,4,5.629,2.888,6.536,4.974,5.764,3.428,5.643,10.813,5.062,6.149,5.673,3.365,5.666,6.654,3.957,5.02,Cancer
9.606,7.181,8.034,8.73,6.254,4.212,4.99,7.061,6.225,4.839,5.401,8.604,3.8,8.749,10.255,5.602,8.612,7.363,4.993,6.229,8.628,4.848,9.266,Cancer
9.996,6.952,7.152,7.413,5.876,4.527,5.082,5.231,5.065,6,4.237,5.312,3.435,6.425,10.463,4.94,6.356,6.022,3.208,5.816,6.333,3.485,4.87,Cancer
10.164,9.257,8.248,9.496,4.439,3.995,4.339,4.801,3.814,3.948,4.489,5.882,3.343,4.544,6.822,4.917,5.509,7.355,3.382,7.027,8.674,3.966,3.554,Cancer
9.359,9.182,7.7,8.077,5.191,3.703,4.183,5.388,3.309,4.609,4.081,6.115,3.294,4.528,11.085,4.926,6.854,5.271,3.396,5.973,7.491,4.129,7.15,Cancer
10.077,8.055,7.815,7.799,4.713,3.934,4.112,5.104,6.389,4.147,4.027,5.163,3.635,5.186,12.493,4.731,6.472,7.202,2.796,7.433,7.256,4.058,4.733,Cancer
9.73,8.22,6.591,8.158,6.657,4.101,3.876,4.822,4.16,4.08,7.233,5.423,3.666,4.056,12.185,4.573,7.77,6.854,3.119,6.445,7.639,4.426,6.274,Cancer
8.99,9.632,8.012,8.731,5.621,4.037,8.034,5.172,8.101,6.323,5.483,5.963,3.425,4.943,10.663,4.928,7.026,7.274,2.841,8.463,6.603,4.232,4.823,Cancer
10.081,8.784,8.767,9.386,3.894,4.23,3.298,4.947,3.223,3.554,3.976,5.053,3.343,7.701,4.502,5.003,7.674,7.836,2.999,7.098,6.903,3.832,5.975,Cancer
9.225,9.322,8.513,9.567,5.356,4.138,4.005,5.235,3.379,4.795,3.887,4.985,3.343,3.819,12.027,4.858,8.918,7.992,3.057,7.886,8.189,4.263,4.44,Cancer
10.092,6.428,7.752,7.389,4.726,3.809,4.17,5.281,3.939,3.52,5.667,8.558,3.349,3.952,11.949,5.335,5.671,5.922,3.1,7.592,6.754,4.186,6.151,Cancer
8.307,3.963,3.467,5.749,8.063,6.731,6.908,8.499,9.156,8.189,8.764,11.581,5.584,9.551,4.847,7.022,11.457,3.285,5.966,3.899,3.635,5.039,11.829,Normal
7.888,3.423,3.422,5.19,8.582,5.644,7.483,7.817,10.002,9.241,9.487,11.916,4.259,8.674,4.53,6.184,11.947,3.425,4.669,3.569,3.382,4.613,11.699,Normal
7.76,4.041,3.909,5.557,8.934,7.366,7.197,9.775,8.14,8.609,8.697,11.913,7.073,10.794,4.304,7.808,12.105,3.74,7.016,4.609,3.463,6.358,12.601,Normal
8.061,3.891,3.888,4.944,8.069,7.545,7.173,10.347,8.902,10.02,9.163,12.247,6.278,10.849,5.174,7.648,10.793,3.44,7.357,3.701,3.366,6.254,11.991,Normal
7.968,5.321,5.522,6.664,8.442,7.604,7.393,7.685,8.963,9.216,9.369,12.478,4.613,9.917,4.726,7.408,11.6,4.643,7.538,4.407,4.72,5.692,11.62,Normal
8.141,3.469,3.586,5.57,8.406,7.212,7.385,9.562,8.594,9.191,9.417,12.593,7.589,10.099,4.525,7.786,11.874,3.421,8.03,3.482,3.27,6.189,12.019,Normal
7.586,3.951,3.612,4.994,8.208,7.857,6.529,9.654,8.936,7.81,8.485,11.923,6.054,10.241,6.323,7.503,10.462,3.707,7.79,4.169,3.919,5.769,12.511,Normal
7.691,3.487,3.846,5.74,8.459,6.946,7.778,9.473,9.994,9.491,9.554,12.539,5.784,10.653,3.654,7.617,11.93,3.834,6.856,3.745,3.227,6.409,11.093,Normal
8.199,3.766,3.827,5.637,8.217,7.741,6.66,8.762,8.559,9.485,9.53,11.84,6.194,9.83,4.728,6.961,10.808,3.318,6.48,3.251,3.446,5.893,4.83,Normal
8.089,3.896,3.708,5.665,8.257,6.92,7.952,9.043,8.456,9.074,8.179,10.713,5.302,5.657,6.457,7.622,9.872,3.506,7.872,3.79,4.25,6.273,11.836,Normal
7.942,3.946,3.46,5.658,8.282,7.535,6.55,9.55,8.043,8.18,9.41,11.573,6.676,10.242,6.588,8.009,9.996,3.595,7.519,3.731,3.894,6.529,12.602,Normal
9.848,5.856,4.745,7.133,5.955,4.136,4.085,5.774,4.217,4.532,6.314,5.763,3.054,4.781,12.482,5.078,5.362,5.64,3.042,5.68,6.149,3.97,5.303,Cancer
7.987,3.698,3.317,5.657,9.451,8.242,7.7,10.048,8.603,9.124,9.904,12.694,6.073,9.21,5.039,8.999,11.793,3.544,7.429,3.734,3.257,6.871,12.032,Normal
9.488,9.414,9.004,8.807,4.881,4.329,4.2,4.427,4.526,4.102,4.188,5.361,3.164,4.108,12.082,5.092,5.697,6.582,2.845,7.281,8.152,4.175,4.746,Cancer
7.609,4.083,3.485,5.466,8.767,7.209,6.858,7.572,8.849,9.249,8.716,12.566,5.649,10.832,3.994,7.012,11.96,3.396,7.268,3.637,3.69,5.691,12.3,Normal
9.571,5.292,5.388,6.147,4.028,4.644,7.891,5.108,3.3,4.076,3.93,5.827,3.264,4.155,3.828,4.925,4.776,4.277,2.718,6.485,4.743,3.846,3.396,Cancer
8.749,7.594,7.588,8.219,3.448,3.728,3.854,5.131,4.241,5.216,4.133,4.301,3.508,5.227,9.281,4.477,8.847,6.795,2.949,6.767,6.843,3.621,3.899,Cancer
9.79,7.93,8.336,9.227,5.103,4.469,4.15,7.182,4.269,6.23,6.866,8.322,3.567,5.268,10.776,5.64,6.229,7.853,3.422,7.072,7.445,4.252,8.327,Cancer
8.238,4.203,4.162,6.228,8.881,6.734,7.652,8.921,8.273,9.529,9.407,11.969,5.638,8.819,6.386,6.817,11.38,3.816,6.947,3.992,4.315,5.112,12.337,Cancer
10.069,7.962,7.084,7.493,4.017,4.355,4.009,5.278,3.328,4.096,4.319,4.545,3.174,7.841,10.22,4.997,7.152,5.959,3.204,7.075,8.49,3.853,5.76,Cancer
8.067,3.812,4.148,5.376,7.717,6.406,7.21,9.059,8.574,8.083,9.099,10.716,6.538,11.144,5.678,7.243,11.813,3.733,6.247,3.814,3.811,5.798,10.673,Cancer
10.511,6.147,6.337,7.723,5.952,4.317,3.631,5.34,3.91,3.685,5.29,4.83,3.509,3.849,11.933,4.76,6.663,5.954,2.848,5.901,6.484,3.891,5.191,Cancer
7.665,4.341,4.309,5.825,8.236,7.176,6.796,9.593,8.126,8.627,9.192,12.383,4.749,7.704,4.533,7.607,10.987,3.868,7.601,3.909,3.553,5.783,12.247,Cancer
8.649,4.194,4.803,5.949,7.344,5.21,7.643,8.306,8.188,8.628,8.568,10.703,3.86,6.597,5.614,7.342,12.716,3.876,5.951,4.199,3.774,5.249,10.878,Cancer
7.968,3.427,3.285,5.562,8.614,7.032,6.849,9.102,9.14,8.873,9.46,11.4,5.005,9.795,6.323,8.248,9.773,3.637,7.096,3.603,3.243,5.592,11.849,Normal
8.944,6.485,8.051,8.257,4.919,4.436,3.662,5.261,5.555,5.682,8.681,9.113,3.269,5.625,12.173,4.756,6.624,6.421,3.116,7.425,6.5,3.74,5.044,Cancer
7.862,3.175,3.389,5.083,9.035,7.527,7.714,8.659,8.499,9.778,9.889,12.659,5.421,8.817,4.836,8.154,11.437,3.363,6.957,3.514,3.526,6.172,12.628,Normal
10.2,6.429,6.165,7.377,5.892,4.216,3.644,4.854,3.85,3.43,4.816,5.719,3.59,5.194,10.977,5.049,5.784,5.668,5.135,5.81,7.155,3.931,3.542,Cancer
8.05,3.615,3.346,5.191,8.687,7.668,7.506,10.442,9.782,9.682,9.082,12.361,8.121,10.129,4.546,7.654,10.74,3.575,7.108,3.793,3.902,6.547,12.301,Normal
8.767,6.971,7.065,7.636,6.45,4.119,4.607,5.29,5.7,6.688,6.256,5.872,3.408,5.356,10.784,4.871,7.933,6.043,3.067,6.61,5.621,4.065,4.153,Cancer
7.966,3.34,3.827,5.392,8.201,6.887,7.088,9.465,8.504,8.951,8.762,11.771,6.196,10.408,6.351,7.948,10.484,3.53,6.807,3.843,3.376,6.009,11.124,Normal
9.737,7.794,8.682,10.078,4.613,4.091,3.662,5.597,3.005,4.022,3.349,4.291,3.382,6.832,4.547,5.804,7.854,7.77,3.168,7.752,6.69,4.037,4.668,Cancer
7.836,3.281,3.226,5.115,7.98,6.279,7.905,8.309,8.045,7.805,9.899,10.784,7.758,10.888,4.313,7.717,11.606,3.622,5.789,3.813,3.209,6.737,12.393,Normal
8.127,3.6,3.839,5.817,7.705,6.635,8.411,9.357,7.552,9.717,7.741,12.333,4.856,8.144,4.447,6.625,12.314,3.661,6.311,3.833,3.4,4.336,8.095,Cancer
8.179,3.534,3.602,4.861,9.076,7.257,8.072,8.623,8.853,9.613,8.812,11.747,7.577,10.161,4.035,7.759,12.037,3.42,7.594,3.657,3.781,6.459,11.372,Normal
8.61,7.4,6.944,7.614,6.139,5.401,5.356,8.84,6.821,7.236,8.118,9.719,4.514,7.174,8.215,6.256,9.111,5.835,5.049,6.467,6.69,4.94,10.562,Cancer
7.991,3.036,3.559,5.304,8.473,7.416,7.331,9.734,7.939,9.197,8.948,12.281,6.304,10.306,4.634,8.068,11.343,3.317,7.362,3.359,3.083,5.958,12.497,Normal
10.664,7.854,8.616,8.556,6.03,3.848,4.104,5.322,4.084,4.521,6.733,7.441,3.112,7.226,11.751,5.622,9.019,7.539,3.331,7.453,8.436,3.604,8.79,Cancer
8.338,3.88,4.031,5.662,7.905,6.981,6.582,9.239,7.614,8.387,8.962,11.5,6.972,10.436,7.318,7.421,11.576,4.01,6.934,3.833,3.779,6.113,12.995,Normal
10.005,7.402,7.94,8.02,5.822,4.252,4.477,5.419,4.488,4.441,6.859,5.27,3.312,4.262,11.952,5.025,6.804,6.355,3.076,6.73,6.815,3.891,3.525,Cancer
8.24,3.586,3.263,5.341,8.443,7.188,7.288,9.927,7.891,9.308,9.33,12.151,6.771,7.618,5.083,7.672,11.017,3.725,6.992,3.538,3.613,5.924,12.251,Normal
9.921,8.601,9.338,9.773,4.896,3.945,3.577,5.288,3.319,4.488,5.388,5.359,3.164,4.822,11.74,4.444,5.551,8.095,3.209,8.483,8.322,3.417,10.011,Cancer
7.927,3.544,3.877,5.341,8.202,6.986,7.382,8.777,8.242,9.052,9.021,12.477,5.733,10.352,7.323,7.606,12.391,3.46,7.2,3.543,3.678,6.023,8.889,Normal
9.71,4.258,5.206,6.561,6.149,4.181,6.203,7.065,4.057,7.907,10.164,6.816,3.952,5.547,11.352,5.166,8.113,4.386,3.302,4.494,5.065,4.375,11.668,Cancer
8.201,3.416,3.704,5.038,8.355,7.488,7.612,8.701,7.999,9.532,9.492,12.435,5.554,9.25,6.841,7.981,11.336,3.639,6.961,4.197,3.522,5.647,12.118,Normal
9.846,6.819,6.559,7.426,4.053,4.557,4.047,4.49,5.147,3.555,4.332,8.612,3.459,5.939,11.737,4.932,5.576,5.889,2.793,5.544,6.1,3.922,3.871,Cancer
7.703,3.478,3.458,4.648,8.34,6.8,7.677,9.197,8.618,9.307,8.521,12.514,4.995,10.802,4.506,7.588,10.641,3.31,7.194,3.572,3.217,5.936,12.215,Normal
8.968,5.61,5.8,7.494,5.653,5.304,5.884,7.067,5.67,6.565,7.588,9.472,3.503,6.608,9.212,5.692,11.435,5.598,3.331,4.177,5.789,3.797,6.352,Cancer
8.009,3.514,3.714,5.177,9.234,6.432,8.022,8.195,8.881,9.081,9.314,12.529,5.259,10.963,3.788,7.645,11.844,3.527,6.676,3.667,4.025,6.396,12.449,Normal
10.124,6.575,7.281,6.958,6.952,5.172,4.713,7.444,4.072,5.23,6.708,5.38,4.135,5.425,11.219,5.508,6.239,5.161,2.801,5.415,6.762,4.413,10.969,Cancer
8.362,3.621,3.876,5.28,8.635,7.396,8.129,8.74,8.181,9.496,8.74,11.833,5.669,10.038,5.296,7.27,11.549,3.746,6.719,3.638,3.75,5.043,10.51,Normal
10.201,7.239,7.627,8.153,4.808,3.562,4.001,5.073,3.303,3.736,3.797,5.829,3.312,4.794,12.122,4.962,5.414,7.039,2.793,7.735,7.438,3.419,5.339,Cancer
8.703,7.144,7.067,7.515,6.43,3.816,3.847,5.327,5.473,5.334,4.625,5.761,3.309,4.459,11.826,4.58,9.103,5.791,2.985,5.943,6.778,4.14,7.016,Cancer
7.895,3.665,3.83,5.146,8.215,6.906,8.054,10.02,8.841,9.741,9.606,12.253,7.611,11.157,4.334,8.133,10.352,3.841,7.638,3.681,3.709,6.093,12.267,Normal
10.329,6.137,7.713,7.267,4.087,3.834,3.792,5.186,7.099,3.962,6.379,4.774,3.273,7.732,8.647,5.104,6.532,5.508,2.782,5.954,5.452,3.63,7.693,Cancer
8.378,3.939,5.325,5.738,7.195,6.106,6.824,8.952,5.675,8.4,8.224,11.519,6.423,10.18,5.951,7.576,10.294,3.993,6.942,4.672,3.925,5.977,12.033,Normal
10.076,6.937,6.26,8.007,5.489,4.316,3.405,5.67,3.008,4.198,5.559,5.609,3.356,5.879,12.325,4.317,5.93,6.052,4.303,5.619,7.892,4.045,3.645,Cancer
8.004,3.837,3.629,5.482,8.818,7.568,8.227,9.666,8.527,9.371,9.754,12.612,6.845,10.654,8.352,8.128,11.077,3.899,7.178,3.558,4.164,6.808,4.973,Normal
10.36,7.662,6.766,7.466,6.571,3.744,3.525,5.172,5.638,4.275,4.139,5.019,3.277,6.648,11.515,4.977,5.46,6.04,2.916,6.796,7.996,3.716,3.827,Cancer
9.055,5.706,6.043,7.037,7.046,6.22,6.894,9.056,7.368,7.396,8.709,10.089,5.692,10.426,10.055,7.069,10.166,5.081,5.841,5.523,6.693,5.597,11.519,Normal
9.703,4.572,5.138,6.575,3.854,4.26,4.279,5.002,3.528,3.656,3.497,5.614,3.177,7.907,9.757,4.768,5.057,4.441,2.905,6.811,4.48,3.985,4.273,Cancer
8.102,3.904,3.876,5.302,8.615,6.94,7.88,8.183,8.735,9.795,8.941,12.107,5.868,10.365,4.31,7.053,12.044,3.448,6.415,3.69,3.6,5.776,12.659,Normal
9.516,7.29,7.54,7.677,5.606,4.29,4.25,5.817,4.536,3.981,4.089,7.111,3.235,5.805,12.429,5.103,6.925,6.527,3.153,6.682,8.225,3.976,7.212,Cancer
8.034,3.849,3.669,5.71,7.972,7.823,6.316,9.423,7.725,8.169,8.133,11.516,5.705,8.595,8.307,8.374,10.562,3.388,8.533,4.027,3.711,6.184,11.848,Normal
8.363,5.745,5.624,7.448,3.367,7.031,3.848,5.664,3.855,4.193,4.007,8.152,3.451,5.172,4.01,4.65,6.034,5.745,4.663,5.428,3.762,3.638,6.313,Cancer
10.627,7.669,8.622,9.181,3.705,3.976,3.657,5.481,8.942,3.437,5.085,4.005,3.38,6.829,3.952,4.692,6.069,7.653,2.911,7.515,9.361,3.88,3.571,Cancer
7.486,4.257,3.813,5.9,7.428,7.418,6.21,8.168,8.823,7.954,8.148,12.045,6.05,9.052,3.873,6.971,10.954,3.356,5.71,3.866,3.199,5.789,12.411,Normal
9.266,5.805,6.836,7.476,3.518,3.871,3.816,5.455,4.813,5.012,6.443,9.676,3.449,5.453,4.533,5.182,5.214,5.831,3.02,6.036,7.548,3.8,3.794,Cancer
7.819,3.971,3.84,6.069,8.341,7.043,6.041,9.686,8.256,9.217,9.534,11.72,7.779,8.963,4.594,7.728,12.508,3.932,7.458,3.824,4.297,6.296,11.427,Normal
10.404,8.521,8.595,9.464,5.367,3.748,3.871,4.711,2.921,4.546,5.17,4.163,3.174,5.356,12.443,4.379,7.258,7.778,3.298,7.021,8.162,4.387,8.132,Cancer
7.794,3.688,3.45,5.121,8.871,6.756,7.873,8.884,7.757,9.525,8.781,12.426,6.213,10.57,5.264,7.145,12.137,3.398,6.763,3.549,3.617,5.996,12.754,Normal
8.945,6.459,8.342,8.022,7.133,4.415,3.78,5.637,5.612,6.421,3.894,5.853,3.392,5.493,11.379,5.123,5.369,6.2,2.628,6.787,7.077,3.932,4.706,Cancer
7.882,3.517,3.311,5.281,8.733,7.236,7.551,8.597,8.499,10.05,9.504,12.053,4.86,10.304,4.712,7.414,11.174,3.589,6.323,4.021,3.592,5.285,11.78,Normal
10.795,4.108,4.026,6.096,5.901,4.413,3.893,5.609,4.932,6.56,4.898,10.934,3.166,5.046,11.596,5.479,5.671,4.42,2.881,5.187,4.784,4.152,4.442,Cancer
8.261,3.644,3.589,5.003,8.234,7.659,7.823,10.175,8.577,9.983,9.517,12.264,4.425,10.143,4.449,8.093,10.798,3.636,7.623,3.687,3.744,6.23,11.974,Normal
9.915,8.597,8.898,8.524,6.901,3.842,4.372,4.91,5.596,4.106,5.365,5.068,3.265,4.719,10.924,4.66,8.386,7.699,2.688,7.912,8.317,4.132,3.968,Cancer
8.099,3.237,3.168,4.776,8.69,7.38,7.458,10.058,8.054,10.156,9.588,12.332,7.011,10.359,3.932,7.845,12.077,3.394,6.365,3.734,3.12,6.151,12.514,Normal
9.106,7.748,8.463,8.185,5.567,4.019,4.969,4.838,5.237,4.978,7.053,5.556,3.254,5.838,11.358,4.854,6.423,6.665,2.715,7.295,7.594,3.901,3.855,Cancer
8.145,3.449,3.26,5.231,8.241,7.194,7.358,9.536,8.228,8.976,9.359,11.647,4.876,10.525,4.759,7.741,11.924,3.664,7.796,3.463,3.11,5.757,12.528,Normal
9.804,6.308,8.24,8.141,6.47,3.602,4.169,5.24,3.765,6.656,6.093,6.244,3.272,6.316,13.057,4.704,7.293,6.867,2.828,5.779,6.856,3.366,3.379,Cancer
7.937,3.393,3.827,5.593,8.496,7.822,7.428,9.705,8.163,9.763,9.418,11.905,7.697,10.799,4.799,8.195,11.985,3.58,7.858,3.681,3.548,6.453,12.47,Normal
8.042,3.359,3.578,5.059,7.914,6.375,7.432,7.943,8.83,8.899,9.227,10.723,4.649,11.19,6.146,6.998,10.51,3.558,5.855,3.434,3.446,5.55,12.299,Normal
10.166,8.3,8.63,8.597,3.761,3.802,4.151,5.143,3.849,4.128,5.196,5.325,3.218,6.847,8.541,5.011,7.905,7.045,3.13,7.278,7.688,3.885,5.321,Cancer
8.892,6.411,6.335,7.374,7.269,6.868,6.796,9.399,7.798,8.03,9.128,11.356,6.726,9.579,7.226,7.648,11.326,5.44,6.553,5.668,5.591,5.926,12.614,Normal
9.995,8.417,7.647,9.257,3.148,3.902,3.67,4.768,4.271,3.617,3.602,4.374,3.517,5.996,10.69,4.616,8.228,7.996,2.848,7.557,7.738,3.819,8.68,Cancer
8.151,3.596,3.791,5.497,8.411,6.925,7.428,10.171,8.457,9.663,9.776,11.521,7.901,10.441,4.544,8.032,11.142,3.78,7.184,3.538,3.334,6.562,12.326,Normal
