CCT3,TOP2A,RRM2,PTTG1,LCAT,VIPR1,ESR1,FCN3,CYP2B6,NAT2,APOF,CYP1A2,FCN2,FOS,GPC3,ECM1,MT1F,CCNB1,CXCL14,PRC1,ASPM,STAB2,HAMP,Class
8.13,3.383,3.627,5.631,8.748,7.961,7.354,8.965,8.761,9.598,9.46,11.899,6.05,9.116,4.752,7.218,11.981,3.539,7.355,3.483,4.018,6.031,12.38,Normal
7.384,3.5,3.6,5.567,7.637,7.852,8.208,8.665,7.419,9.332,8.833,10.525,6.035,10.098,3.604,7.201,11.719,3.371,6.22,3.595,3.878,6.074,12.316,Normal
7.592,3.369,4.33,5.708,7.155,6.538,7.712,9.935,6.996,9.019,8.306,10.124,6.924,9.276,5.52,7.596,11.094,3.785,7.255,4.022,4.193,6.626,11.672,Normal
9.807,6.219,8.591,9.262,5.165,4.191,4.385,5.405,7.392,6.938,8.79,7.757,3.477,5.416,10.419,4.435,6.894,7.602,2.78,7.235,7.398,3.7,3.369,Cancer
9.692,6.956,6.847,8.215,4.431,4.319,3.931,5.425,3.723,4.028,4.746,5.68,3.441,5.384,11.903,4.848,8.74,6.495,3.111,7.327,7.644,3.581,5.351,Cancer
9.341,5.536,7.021,6.958,6.079,4.262,7.686,4.954,6.01,6.227,5.652,11.843,3.345,4.519,11.44,4.682,5.915,4.51,3.168,6.142,6.748,3.637,3.933,Cancer
7.981,3.692,3.761,5.21,7.412,7.236,6.912,8.833,7.896,9.093,8.494,11.66,5.325,9.028,6.546,7.258,9.846,3.608,6.915,3.588,4.082,6.194,12.258,Normal
7.943,3.345,3.46,5.096,8.397,7.459,7.999,9.728,7.984,9.904,9.384,11.673,5.995,8.354,3.949,7.351,11.342,3.683,6.72,3.851,3.736,5.64,11.946,Normal
7.278,3.468,3.157,5.518,8.558,7.882,7.553,8.694,8.73,9.83,9.751,11.255,5.793,9.688,4.125,7.064,11.569,3.479,6.456,3.639,3.56,5.83,10.936,Normal
7.008,4.445,4.246,5.616,7.765,7.765,8.669,9.743,7.234,8.526,7.887,12.514,6.995,9.803,3.798,6.536,11.54,3.321,5.279,4.464,4.22,5.154,11.182,Normal
6.392,5.118,3.647,4.862,7.943,7.256,8.304,8.759,9.295,9,7.462,12.245,6.382,7.761,3.363,7.067,11.445,3.602,4.572,3.711,3.937,5.545,10.318,Normal
8.534,3.697,4.014,4.927,8.358,7.411,7.247,10.454,7.204,9.759,10.283,11.914,8.525,9.647,4.096,7.543,12.161,3.387,6.766,3.279,3.475,6.465,12.661,Normal
8.129,3.671,4.105,5.39,9.085,7.007,7.691,7.405,8.922,10.019,9.713,12.146,4.429,9.038,4.044,6.941,11.805,3.433,5.788,3.363,3.678,5.02,12.607,Normal
8.133,3.213,3.563,5.019,7.841,8.42,6.804,9.42,7.772,8.488,9.943,11.696,9.061,11.214,4.625,8.673,11.504,3.461,7.636,3.791,2.996,7.943,12.847,Normal
8.205,3.448,4.502,4.892,8.846,7.482,7.777,7.797,7.72,9.858,9.222,12.613,5.89,10.149,4.095,7.201,11.835,3.316,6.905,3.45,3.271,5.177,12.535,Normal
8.198,3.3,3.372,4.947,8.325,7.89,7.359,10.294,7.736,9.604,8.851,12.134,8.357,11.113,4.682,8.387,12.003,3.54,7.827,3.427,3.117,6.43,12.539,Normal
7.994,3.797,3.986,5.292,8.682,7.464,7.724,10.109,8.64,9.202,9.524,12.18,7.45,9.769,4.361,8.094,11.65,3.631,7.547,3.472,3.738,6.825,11.522,Normal
8.205,3.675,4.597,5.573,8.905,7.53,7.97,9.48,9.276,9.617,9.744,11.398,6.478,10.575,5.133,7.829,11.831,3.323,7.677,3.933,3.765,6.101,8.312,Normal
8.419,4.324,4.574,5.499,8.027,8.487,7.158,8.93,6.664,8.562,8.942,11.95,7.798,8.956,7.142,7.978,11.405,3.705,7.367,4.11,4.066,6.479,12.489,Normal
8.751,7.202,6.371,7.11,7.297,4.098,5.293,7.875,5.589,5.998,7,9.82,4.454,8.206,10.531,6.46,10.389,5.26,4.098,6.464,4.824,4.578,10.122,Cancer
9.438,9.184,8.636,9.834,5.263,4.042,5.298,6.268,4.702,5.997,5.562,10.156,3.483,7.351,7.818,5.849,8.571,7.847,4.11,7.275,8.123,3.788,10.857,Cancer
8.782,4.588,5.517,5.721,6.259,3.826,5.839,7.477,6.056,5.499,4.992,10.101,3.903,6.909,4.109,5.576,9.759,4.175,4.621,4.436,3.879,3.861,10.971,Cancer
9.68,7.448,7.171,7.408,5.122,3.656,4.18,5.561,3.608,4.58,5.492,7.626,3.259,7.815,9.688,5.085,8.316,6.702,3.492,7.089,4.8,3.539,5.65,Cancer
9.09,3.466,4.17,6.347,6.567,4.342,5.389,5.686,5.449,8.263,6.216,8.54,3.525,7.837,4.149,4.883,5.774,3.646,2.787,4.453,3.632,3.624,5.372,Cancer
9.479,7.903,6.777,8.477,5.201,4.181,3.287,5.267,4.821,3.898,5.273,5.505,3.378,6.607,10.844,5.285,6.944,7.374,3.555,6.723,6.653,3.735,8.348,Cancer
9.875,5.379,7.327,7.23,6.206,3.706,4.534,5.234,5.097,6.107,4.081,6.059,3.178,5.616,11.171,4.565,5.755,5.67,3.02,5.851,6.572,3.639,5.081,Cancer
9.891,6.023,6.258,7.342,4.092,3.858,3.688,5.273,4.84,3.474,3.505,4.669,3.326,5.568,12.105,5.111,5.323,5.018,3.25,6.015,6.632,4.047,7.204,Cancer
8.785,3.729,4.448,5.77,6.699,3.775,5.434,5.664,3.711,7.546,5.876,11.642,3.168,5.142,4.561,4.517,8.571,4.093,2.907,4.217,3.949,4.194,9.73,Cancer
10.049,8.046,8.252,9.173,5.643,3.777,4.205,7.313,4.582,4.788,6.821,6.84,3.704,8.73,10.514,6.141,9.431,7.586,3.813,7.825,8.387,4.165,9.649,Cancer
