GABRB2,NPC2,LGALS1,SORD,TOB1,SLC20A2,ZBTB5,ST3GAL5,FGFR2,TG,DIO2,MMP1,CCL21,TFF3,RNF24,TRAPPC6A,HGD,MPPED2,SRPX2,MMRN1,RXRG,TNXA /// TNXB,DLG2,DIO1,OCA2,CDH16,SLC26A4,KCNJ2,FOXE1,CITED1,DPT,ACTN1,ID4,PPAP2B,GPM6A,ADH1B,PRKCQ,TSHR,TPO,PXDN,LRP4,ABR,FAM189A2,TWIST1,IPCEF1,RBM47,BEX1,DEPTOR,CSGALNACT1,LYVE1,CLIC3,LRP1B,GNA14,EPB41L4B,GPR83,BEX2,IER5L,FHDC1,AFAP1L2,PRR15,NMNAT3,IPW /// LOC101930404 /// PWARSN /// SNORD107 /// SNORD115-13 /// SNORD115-26 /// SNORD115-7 /// SNORD116-22 /// SNORD116-28 /// SNORD116-4,ZCCHC12,COL23A1,C16orf89,USP51,LRRK2,GLT1D1,LPAR5,PKHD1L1,RP11-476D10.1,LIPH,RP4-813F11.4,DYNLRB2,BC017398 /// CTD-2314B22.3 /// DQ786293 /// DUXAP10 /// LL22NC03-N64E9.1,OTOS,Class
10.13194619,13.86198486,12.48943693,8.773694728,10.24300931,8.329783716,8.952398451,12.19839879,8.491167628,14.29299069,7.861412355,3.632587783,6.089643126,8.120671725,7.215086947,8.440367446,7.357119818,7.903159537,5.226962241,3.192145808,8.980980807,7.730351675,4.172428757,11.11713355,6.207063769,6.581586616,9.330413321,10.55390325,11.21102989,11.05350816,5.631090947,10.39033827,12.53222598,13.03713359,7.017450957,4.579038214,8.223163063,10.51693204,9.916441086,8.560118794,12.57381383,10.03651742,9.687582373,4.742132271,7.874033151,11.1209159,6.898505174,9.151807016,8.642993581,4.706957194,10.17739485,3.876021461,7.458807738,10.43719441,4.873646625,10.87217656,9.215796873,8.077287869,8.804436294,11.14346729,6.429346551,10.21801256,13.0010268,6.679452381,10.57117528,7.402388306,11.14258257,8.623330315,10.66589023,6.119672559,9.380257397,7.495194028,5.889682068,5.265551486,4.409179085,7.31511538,2
11.16259699,13.89685629,12.57536377,9.334937878,9.708942504,8.127744098,8.844481518,11.86172313,8.31177089,14.25202468,8.128510647,3.632223662,4.933487513,6.61368281,6.754854748,8.386090761,6.34769519,6.837412346,4.89750384,2.883636534,9.118589165,7.479414299,4.154941531,8.042992909,4.882807296,5.531025089,10.38402816,11.17135866,11.03037214,11.8614533,5.83430994,10.28483107,12.18346568,13.33883017,6.766776618,4.492451545,8.047408385,11.93462455,8.609925032,8.534221558,12.75291509,9.8203798,9.348561411,4.250518818,6.253547328,11.45227548,5.981730524,10.24549882,8.101908813,4.799647764,10.76785269,3.306655835,7.415308453,10.72796326,5.342254592,11.14918472,9.16436803,7.910147345,8.459693355,11.03988953,6.621432333,10.75242566,13.99892136,7.017403962,10.38956386,7.33106171,11.58121403,8.180938073,10.41755651,5.051851732,10.42224358,7.547504972,6.256760656,5.280274073,5.357437242,7.296332936,2
9.272776801,13.97872734,11.92787354,10.32853921,10.00750082,8.52851446,8.694779338,11.89320515,9.628213846,14.48143951,9.511934454,3.3829598,5.776651008,7.723356045,7.065716691,8.534871795,7.982726031,8.027638594,4.294851274,3.155086463,9.301907121,6.953945559,4.657800032,9.087038029,5.670563509,6.308371331,10.12919823,8.13156782,11.01925651,12.31183786,6.045353105,10.1476215,12.28797295,13.45403687,6.754686064,4.3381528,8.513820432,11.80453619,10.95711934,8.295015593,12.53596499,9.443931391,10.0201542,4.269062592,7.265471131,11.71590726,8.335265077,10.07400355,9.238695958,4.573999325,11.72744465,3.310077609,7.274549964,11.19293727,6.460773014,11.05366923,9.163013133,9.018204798,8.735953053,11.30367019,6.887657614,10.33866805,12.84543661,6.934150344,11.2322888,7.89985691,11.24012397,8.317582427,9.867648518,5.976547225,8.833845224,7.458197825,5.941472274,4.956291324,3.119907938,6.850537715,2
10.28511348,12.85808854,13.05654138,8.431748904,9.943263646,8.411681421,8.57813717,9.340768499,8.101494919,13.59690255,9.134010798,6.196804074,9.367670209,7.470227638,6.914591897,7.307392451,8.382797045,7.901679668,8.095751528,4.702335671,5.911170044,6.990445432,4.38037484,8.728176904,5.726342025,5.871326159,11.08328585,9.943406197,10.48294136,8.692176623,6.749812882,11.94846213,12.2146786,11.75165577,5.617582284,4.375919485,7.825912235,11.21705195,9.659037079,11.19615115,10.05718053,9.173831417,9.167159067,7.379809249,6.907585017,10.68561702,8.281909346,9.236512109,9.555782597,7.025975896,9.557694879,4.996704384,6.946465389,9.926113724,5.536123344,9.582175854,8.345537646,7.835396662,8.04258365,7.972044163,6.40912244,9.075961409,8.118961077,7.692993203,8.80736029,6.686814934,9.479811749,6.837763924,8.700716994,6.96703631,4.387687225,6.070578451,4.301539704,5.868840932,7.412287107,6.602749197,2
6.226660589,13.62842193,10.48478311,7.435014447,10.77442936,8.836291541,8.759878807,11.15219381,8.945652377,14.55496229,9.588137334,4.94015401,5.283390622,7.502682502,7.433523731,8.456026066,8.438307626,10.17863453,4.290869703,3.510389252,7.998338404,7.020207716,4.331915737,7.603278436,5.239627976,5.816387453,11.32913209,6.941143057,11.03220072,11.80688032,5.135228352,10.16945078,12.37580377,13.47442591,7.281811407,3.835439592,8.96325169,11.82742541,9.582852546,8.803357099,11.68486913,9.412680228,9.073094872,5.666600959,5.570253291,11.33019425,9.226889885,10.24909204,7.6405114,4.793329727,11.82237348,3.914307155,7.84846984,10.72310854,5.379649735,11.07730053,8.411751879,9.391259883,7.737775341,6.953772391,6.67763606,10.65384197,13.07991911,7.74128694,11.58354279,7.761215168,12.62281707,7.965528676,9.515122272,6.508601745,10.78493469,5.937565359,6.07573728,5.497590264,3.443381753,6.682425342,2
9.757743897,13.53541213,12.60007358,8.381171549,10.16995159,8.640387006,8.676332343,11.29186138,8.22771584,14.01782679,8.705845958,4.331186169,7.879779854,8.00886496,7.34562639,8.08564507,7.093963953,7.513497416,6.373401449,4.764873379,8.527626222,7.653962542,4.279265356,8.626446111,5.580897568,5.893207714,10.08552683,10.89512455,10.70405831,10.52927353,6.337800167,11.50527321,12.16595214,12.74969159,4.966033781,5.296862625,8.011650115,11.5190583,8.697542503,9.713475522,11.59392156,9.735540828,8.825175331,6.135353428,7.055383191,10.9192668,7.201845358,9.85180154,8.733595059,5.585943935,10.67690419,3.844218549,6.571083553,9.882685057,4.734086706,10.29190818,8.581068771,8.364590067,7.887108547,9.481165815,6.327309895,9.81819857,10.89189137,7.458323183,10.43131681,7.239667915,11.61306465,7.601426791,9.70714146,6.185154111,8.693554221,6.173919318,4.871875255,5.189082829,7.79332137,7.420815685,2
11.37640421,13.91062243,12.46870604,9.96081379,11.12781738,8.176671307,8.797876432,11.37433885,8.639116857,14.0873269,9.106985924,3.360790004,5.77021754,7.614802053,7.079705416,8.241555345,6.50482052,7.168703421,4.689655349,3.111551859,8.628421637,6.918061201,4.457292562,9.593712399,5.648194789,5.900311056,10.08043988,11.45935894,11.09803383,10.62303139,5.625759994,10.46017522,12.11134576,13.1972218,5.35832751,4.297813538,8.153863975,12.01361611,7.430231476,8.043608434,11.43986944,9.124045584,9.651910053,4.061113213,5.700380308,11.08776186,6.125778411,10.7983543,9.427084777,4.742846667,11.25169715,3.103189556,7.310983336,10.57574305,4.152395991,10.92260692,8.074900163,7.961310297,9.055369562,9.890665929,6.644552632,10.51746156,13.38860757,6.622782564,10.30206939,7.740794975,11.45051236,7.603732061,9.896314212,6.436462786,9.512052039,6.649499583,5.775118514,5.610403601,3.942987884,7.268249138,2
9.407719109,13.26559712,12.12673934,8.275027569,9.769040551,7.738625586,8.712454189,11.40236366,7.818916681,14.12364365,8.327174894,3.612017693,7.803088296,7.372977737,6.961523594,8.072665374,7.267415926,6.719154928,5.316728716,3.525559765,8.405538526,8.046054211,4.429004189,9.785838572,5.250824802,5.995430691,10.20492378,10.46447252,10.66742981,10.71824903,6.614597796,11.00754241,12.05981353,12.74519882,4.976907973,6.521976719,7.903724993,11.33734063,9.313383726,9.374422927,12.15915405,9.896574284,9.244095128,5.486087389,7.18010582,11.3391411,5.886421248,9.241323885,8.249002824,5.237149462,10.24833411,3.116998251,6.3283332,9.941532499,5.818114659,10.25320713,8.750962122,7.967758202,7.723550137,9.738553086,5.836693761,10.12408575,11.79583581,7.343064551,10.92303159,6.926288625,11.41825608,7.460310702,9.496649031,3.970784309,8.529713336,5.902556667,5.571275284,5.424386239,5.373907971,6.931034017,2
9.936873442,13.19806231,12.78769567,8.466571459,10.22385377,7.43656889,8.518920081,11.33224157,7.938021059,12.87458274,8.372452985,4.119990977,8.124509993,7.433097854,7.586616634,8.206736129,7.039078707,6.403961371,6.622821517,3.31660362,6.230407666,7.689226691,4.070773078,6.036084572,5.794105643,5.7649229,8.094643395,9.125244839,10.42366247,8.508492327,6.808200542,11.30460553,11.21093684,11.64628311,4.7180164,5.226110503,7.977362402,9.857116345,8.704459207,9.502353132,10.776965,10.10553822,8.034571687,5.558170251,7.236741393,11.02908024,6.222712631,9.47591923,8.256215078,5.640547404,9.328722285,3.283602873,5.38152619,9.390361148,4.885391715,8.926192471,8.433797982,8.266860255,7.732013603,8.502727063,6.576204216,8.881317124,6.322036311,7.144311499,9.461243411,6.711362457,10.83951671,6.92670536,8.845995407,5.497902811,4.729863474,6.568835122,4.597547778,4.484384466,9.4299951,7.623028829,2
10.41981357,13.59987012,12.08555042,9.536137725,10.08085183,8.534505768,8.65740773,11.33722837,9.06698751,14.10374824,9.428371092,4.426921839,7.004888538,8.488620208,7.26885534,8.644809905,7.489424593,7.188503979,5.28994695,3.380722983,8.716134627,7.927499986,4.633161313,9.488578993,5.725229115,6.583783771,9.866379504,9.469215891,11.26908608,12.40778798,6.533610575,10.63707692,12.10586156,12.76438915,6.503581352,4.577035716,8.51829596,11.56311268,10.23594057,8.790422949,10.26505871,9.547222436,9.365448427,4.790678579,7.407055759,11.07983062,7.576615454,10.04327164,9.927367106,5.491803763,11.0947909,3.773796084,6.234260169,11.0704415,5.239012965,10.27282812,8.25177585,8.708251477,8.808223603,8.649075733,6.792295102,9.944615464,11.97234457,7.310149203,10.69423016,7.746735743,10.07406925,8.023989788,9.849547158,6.001581819,6.20121571,7.002333274,5.839949389,4.769860512,4.245463822,7.083984933,2
