'ATP1B1','CDCA4','CLIC4','CNDP2','CRYZ','GATA3','GLRX','HOMER2','HSD17B11','IGFBP3','MTA1','PAX8','PROS1','SCYL3','SFN','SGCB','SLC37A4','SPDEF','SPP1','TFAP2A','TNIP1','USP7','XBP1','ZNF395','GAPDH',Class
57.534,5.6855,59.162,82.847,11.719,161.74,7.0066,5.9684,10.905,85.714,26.869,0.89688,8.9439,3.0817,29.301,8.7346,11.35,88.965,62.44,21.475,34.753,37.635,462.21,13.084,1963.9,BRCA
368.5,5.8648,33.089,81.502,23.811,222.1,44.83,13.798,9.4437,30.169,36.265,3.1339,1.4692,9.2693,36.228,2.0106,12.183,45.488,77.128,26.215,47.511,29.99,1299.7,12.839,1224.2,BRCA
138.3,7.1095,41.141,92.212,11.946,341.97,40.753,9.2228,7.2877,83.943,28.998,0.29535,2.5671,7.4554,9.9941,6.2225,13.873,102.1,89.678,59.503,54.483,37.654,996.66,21.701,1521.6,BRCA
76.082,7.9205,31.542,68.592,7.9904,281.69,6.7319,7.7504,8.3089,23.64,11.617,0.38823,3.4719,13.386,32.95,7.9919,15.977,119.98,61.925,51.491,13.137,36.087,1746.1,19.525,1034,BRCA
35.743,5.3422,48.313,34.919,15.491,212.12,5.6808,5.884,5.3647,13.574,12.67,2.0338,4.6972,3.8233,35.35,24.486,9.742,55.041,35.815,28.338,37.218,39.078,1078.2,8.4852,1251.3,BRCA
157.22,5.3466,67.047,98.583,14.942,182.74,36.88,29.195,17.177,74.444,22.244,1.5367,12.255,15.042,15.996,11.582,12.803,50.728,65.391,24.711,36.379,30.886,553.49,30.673,785.7,BRCA
85.851,6.4504,38.432,113.78,7.9268,124.15,8.4088,14.613,3.3213,13.014,12.026,0.36391,1.8987,7.5344,0.97212,4.171,20.183,91.436,5.6629,26.758,38.267,43.869,908.45,4.7801,1593.3,BRCA
71.312,5.4236,85.111,91.956,11.24,62.724,9.591,3.2653,12.138,146.72,17.21,0.32066,4.5372,7.9962,2.5977,7.9051,12.678,63.241,84.891,76.175,30.48,48.98,503.46,10.996,1623.7,BRCA
19.173,4.9824,46.189,64.358,5.9332,33.136,7.8671,20.768,29.172,39.616,16.506,0.65875,1.2365,4.9004,69.266,3.9222,7.2508,67.853,59.608,21.713,23.968,25.856,620.75,11.854,5935.6,BRCA
74.043,4.883,71.256,41.022,7.0307,174.31,8.6095,8.3001,11.603,27.927,15.355,0.58441,10.682,3.2818,19.84,9.6007,8.5469,63.335,97.196,17.808,36.045,20.939,280.27,10.277,1237.9,BRCA
43.04,23.245,46.741,36.115,12.447,7.3812,5.8237,7.4135,2.1163,93.987,59.966,0.12719,2.2295,1.9008,6.2666,5.721,17.535,0.25954,51.549,12.93,43.832,26.479,39.425,9.2505,3547.2,BRCA
24.845,7.8993,50.228,31.781,2.9143,142.73,4.381,30.109,1.8648,56.613,15.394,0.87579,1.5627,4.0271,67.93,4.3072,21.701,170.11,33.166,16.925,20.928,29.414,1087.7,7.8854,2602.7,BRCA
43.173,18.5,84.145,120.89,25.717,18.268,17.445,18.106,4.5494,64.147,22.612,0.75442,3.9347,1.9565,86.226,8.8079,27.244,14.869,69.676,14.981,52.533,19.241,121.54,9.1895,3465.2,BRCA
96.583,4.1814,35.927,253.17,25.415,316.81,18.015,21.653,5.6236,21.159,23.429,0.12189,2.9107,20.214,7.5069,6.1519,15.986,63.24,2.9742,72.49,37.229,59.493,1507.4,33.855,959.51,BRCA
