IGSF10,GRK5,SPOCK2.1,FABP4,COL11A1,GRK5.3,EFNA4,SH3GL3.1,COL10A1,CA4,CA4.1,CST1,SGCG,GPM6A,GPM6A.1,SPP1.1,TNNC1,AGER,CLIC5,KANK3,SPTBN1.5,AGER.1,COL10A1.1,GOLM1.1,QKI.7,CCBE1,FRMD3,PCAT19,RTKN2,STXBP6.3,CCM2L.1,MASP1.3,CCDC85A.1,NCKAP5,SERTM1,COL11A1.2,Class
5.32774,6.14409,7.96389,5.14595,7.62425,7.33752,7.78377,5.9049,8.26421,7.09869,5.09987,5.57277,4.91294,4.13426,3.82269,9.85511,5.13917,7.16838,6.68361,6.1364,6.12169,7.04652,6.00403,9.70721,6.7861,6.00452,5.8909,6.88984,4.18216,3.72273,5.76197,6.21067,4.51511,3.34925,3.53812,6.60238,Cancer
5.57409,5.92804,8.57068,8.2768,8.82915,7.8541,9.18225,6.24513,7.75087,6.30104,5.3047,6.34269,5.16069,6.03896,6.2175,13.8964,5.88867,8.06265,9.69925,6.16961,5.5043,7.17518,6.48351,10.4923,6.85511,6.45344,7.89856,6.78885,5.90112,4.89961,6.26562,5.96985,5.5478,5.96406,4.13975,8.91143,Cancer
4.11969,6.13836,8.10259,7.39365,9.58153,7.36945,8.49518,6.47644,11.2106,6.12791,5.28958,10.1867,5.20339,5.37929,4.64267,13.8361,4.94929,5.78619,4.69716,6.23269,6.31671,6.11426,10.3129,8.8209,6.72993,6.31099,5.93893,6.5116,4.02549,3.71806,7.21967,6.2516,5.12299,4.0179,3.63316,10.4704,Cancer
4.2596,5.68876,7.30846,6.47975,6.95619,6.99533,8.30663,6.43946,10.6506,6.79164,5.14564,9.25741,5.28743,4.99311,4.91849,12.7675,8.38885,6.51008,6.89198,6.05935,6.00415,6.18682,10.3667,9.92743,6.57233,5.942,5.65613,6.5409,3.76713,6.80719,6.54833,5.70762,3.96134,3.25839,3.88324,7.54461,Cancer
4.45886,6.24116,7.35476,6.42957,10.1467,7.57733,9.05458,6.26442,9.26635,6.94585,5.2225,12.228,5.262,4.23679,4.05243,13.4368,6.33621,5.02017,4.88236,5.41617,6.10478,6.05807,8.194,10.5192,6.27362,7.53385,6.41818,5.9605,4.82104,4.54159,5.97463,5.99007,4.35715,3.5417,3.85275,11.0955,Cancer
4.12978,5.9232,7.43595,5.41992,11.1306,7.34104,9.20552,6.00819,11.5283,7.07865,5.38322,8.71521,5.06898,5.2134,4.68533,13.3566,5.50225,5.31649,5.65657,5.68759,5.88051,6.30729,10.4376,11.739,6.95782,6.26858,5.92663,6.28234,3.76861,4.76384,6.6342,6.39139,5.90941,3.5234,3.80039,11.8386,Cancer
7.52165,6.62596,9.00219,9.25933,4.83055,8.68066,8.71573,6.01942,8.91614,8.04816,8.16919,5.93711,6.41657,5.91286,6.13572,10.2459,6.71958,9.08889,8.70861,7.29639,6.018,7.52628,7.35055,9.43816,7.06513,8.20262,6.41543,7.31564,4.09388,5.50658,7.23118,6.29029,4.86669,4.15138,4.19263,4.20317,Cancer
4.29447,5.73147,8.19901,9.6832,11.3995,7.85722,8.90612,5.35264,13.1739,6.43878,4.84379,9.80415,5.50065,5.54696,4.45038,14.2075,5.50016,5.68416,6.76992,6.42774,5.72437,5.8953,12.2672,10.6515,7.40187,6.16472,6.14106,6.6721,4.01039,4.07852,7.12154,6.09566,4.84231,3.87179,3.91254,12.1543,Cancer
5.06438,6.73469,9.84169,8.69613,5.94615,9.01989,7.57254,6.51125,11.0252,7.03143,6.25799,9.29208,5.59957,7.73905,8.32509,12.9113,7.44998,7.9986,9.5373,7.11986,6.13732,7.04162,9.79412,9.18812,7.13554,7.23101,6.50365,7.17752,4.04713,5.64048,7.02415,6.28064,4.59774,4.67783,3.7791,5.78607,Cancer
5.69674,5.85682,8.39314,8.53772,5.0344,8.47297,8.75613,5.69366,9.64023,7.90645,7.38525,6.42957,5.44443,5.40658,5.57806,13.2601,6.94061,8.99112,9.50028,7.60243,5.46752,7.52407,8.09917,10.177,6.41554,6.91688,6.28913,7.64124,4.12332,6.04409,7.50747,6.27319,5.13271,3.42308,4.41862,4.31896,Cancer
